question_id,domain_id,difficulty,question_text,is_multi,option_a,option_b,option_c,option_d,option_e,correct_answer,source
344,5,easy,Which table function will return the output of a previously-run command?,FALSE,FLATTEN,QUERY_HISTORY,TASK_HISTORY,RESULT_SCAN,,D,MANUAL
345,4,easy,How can a relational table be unloaded into a JSON file?,FALSE,Use the OBJECT_CONSTRUCT function in conjunction with the COPY INTO [location] command.,Use the COPY INTO [location] command with the file_format set as JSON.,Use the PUT command with the file_format set as JSON.,Use the GET command with the file_format set as JSON.,,A,MANUAL
346,2,easy,When do Snowflake object owners lose their ability to make grant decisions?,FALSE,When the object owner has been granted a database role,When the object owner has been granted an account role,When the object is part of a managed access schema,When the object is part of a regular schema,,C,MANUAL
347,4,easy,Which command allows a user to unload data from a Snowflake database table into one or more files in a Snowflake or external stage?,FALSE,GET,LIST,PUT,COPY INTO [location],,D,MANUAL
348,2,medium,"True or False: When Snowflake is configured to use Single Sign-On (SSO), Snowflake receives the usernames and credentials from the SSO service and loads them into the customer's Snowflake account.",FALSE,True,False,,,,B,MANUAL
349,4,easy,Which Snowflake feature enables loading data from cloud storage as soon as files are available in a stage?,FALSE,COPY_INTO [location] command,Data replication,Snowpipe,Direct share,,C,MANUAL
350,4,hard,Which JSON paths are considered to be equivalent in Snowflake? (Choose two.),TRUE,src['customer']['EMAIL'],src['CUSTOMER']['Email'],SRC:Customer.Email,src:customer.email,SRC:customer.email,"D,E",MANUAL
351,2,easy,Which privilege is required for a user to be able to view a resource monitor?,FALSE,USAGE,SELECT,MONITOR,OPERATE,,C,MANUAL
352,6,medium,What happens when a table or schema with a standard retention period is dropped?,FALSE,The object is immediately removed from the system.,The object is instantaneously moved to Fail-safe.,The object is retained but all associated data is immediately purged.,The object is retained for the data retention period.,,D,MANUAL
353,1,easy,"When cloning tables, which INFORMATION_SCHEMA view will show different columns for owned storage and referenced storage?",FALSE,DATABASE_STORAGE_USAGE_HISTORY,STAGE_STORAGE_USAGE_HISTORY,TABLE_STORAGE_METRICS,STORAGE_USAGE,,C,MANUAL
354,3,hard,"Based on a review of a Query Profile, which scenarios will benefit the MOST from the use of a data clustering key? (Choose two.)",TRUE,A column that appears most frequently in ORDER BY operations,A column that appears most frequently in WHERE operations,A column that appears most frequently in GROUP BY operations,A column that appears most frequently in AGGREGATE operations,A column that appears most frequently in JOIN operations,"B,E",MANUAL
355,6,easy,"When working with dimension tables that change frequently, what is the recommended way to manage costs?",FALSE,Keep the Time Travel retention period for the dimension tables to 7 days or less.,"Make the dimension tables transient with a retention period of 0 days, and backup the table daily to a permanent table. Delete all but the latest backup.",Make the dimension tables transient and back-up the data daily into a permanent table using cloning.,Make the dimension tables permanent with a retention period of 7 days. Replicate the database to a secondary database once a week.,,B,MANUAL
356,2,easy,What Snowflake privilege should be granted to allow a non-ACCOUNTADMIN access to billing information?,FALSE,OPERATE,MONITOR USAGE,OWNERSHIP,USAGE,,B,MANUAL
357,5,hard,A stream can be created on which Snowflake objects to record data manipulation language (DML) changes? (Choose two.),TRUE,Databases,Standard tables,Standard views,Schemas,Pipes,"B,C",MANUAL
358,4,easy,"When creating a file format to load JSON data into Snowflake, what command will remove brackets ([]) from the data?",FALSE,STRIP_NULL_VALUES = TRUE,REPLACE_INVALID_CHARACTERS = TRUE,TRIM_SPACE = TRUE,STRIP_OUTER_ARRAY = TRUE,,D,MANUAL
360,1,easy,"What virtual warehouse feature or setting will reduce the performance impact when running larger-than-average queries, by offloading portions of the query processing work to shared compute resources?",FALSE,Using a multi-cluster virtual warehouse,Using the query acceleration service,Using the search optimization service,Disabling auto-suspend,,B,MANUAL
361,1,easy,"Which schema-level objects allow the user to periodically perform an action under specific conditions, based on data within Snowflake?",FALSE,Alerts,External tables,Secure views,Materialized views,,A,MANUAL
363,6,easy,Which Snowflake feature is used for both querying and restoring data?,FALSE,Cluster keys,Time Travel,Fail-safe,Cloning,,B,MANUAL
365,2,medium,What is the minimum Snowflake edition that has column-level security enabled?,FALSE,Standard,Enterprise,Business Critical,Virtual Private Snowflake,,B,MANUAL
366,3,easy,What parameter controls if the Virtual Warehouse starts immediately after the CREATE WAREHOUSE statement?,FALSE,INITIALLY_SUSPENDED = TRUE/FALSE,START_AFTER_CREATE = TRUE/FALSE,START_THE = 60 // (seconds from now),START_TIME = CURRENT_DATE(),,A,MANUAL
367,3,medium,Which object allows you to limit the number of credits consumed within a Snowflake account?,FALSE,Account Usage Tracking,Resource Monitor,Warehouse Limit Parameter,Credit Consumption Tracker,,B,MANUAL
369,1,easy,Which of the following describes the Snowflake Cloud Services layer?,FALSE,Coordinates activities in the Snowflake account,Executes queries submitted by the Snowflake account users,Manages quotas on the Snowflake account storage,Manages the virtual warehouse cache to speed up queries,,A,MANUAL
370,1,medium,What is the maximum total Continuous Data Protection (CDP) charges incurred for a temporary table?,FALSE,30 days,7 days,48 hours,24 hours,,D,MANUAL
371,3,medium,"When reviewing a query profile, what is a symptom that a query is too large to fit into the memory?",FALSE,A single join node uses more than 50% of the query time,Partitions scanned is equal to partitions total,An AggregateOperator node is present,The query is spilling to remote storage,,D,MANUAL
372,3,medium,What type of query benefits the MOST from search optimization?,FALSE,"A query that uses only disjunction (i.e., OR) predicates",A query that includes analytical expressions,A query that uses equality predicates or predicates that use IN,A query that filters on semi-structured data types,,C,MANUAL
373,1,hard,What transformations are supported in a CREATE PIPE ... AS COPY `¦ FROM (`¦) statement? (Choose two.),TRUE,Data can be filtered by an optional WHERE clause.,Incoming data can be joined with other tables.,Columns can be reordered.,Columns can be omitted.,Row level access can be defined.,"C,D",MANUAL
374,3,hard,Which of the following are characteristics of Snowflake virtual warehouses? (Choose two.),TRUE,Auto-resume applies only to the last warehouse that was started in a multi-cluster warehouse.,The ability to auto-suspend a warehouse is only available in the Enterprise edition or above.,SnowSQL supports both a configuration file and a command line option for specifying a default warehouse.,A user cannot specify a default warehouse when using the ODBC driver.,The default virtual warehouse size can be changed at any time.,"C,E",MANUAL
375,4,easy,"Which command should be used to load data from a file, located in an external stage, into a table in Snowflake?",FALSE,INSERT,PUT,GET,COPY,,D,MANUAL
376,3,easy,The Snowflake Cloud Data Platform is described as having which of the following architectures?,FALSE,Shared-disk,Shared-nothing,Multi-cluster shared data,Serverless query engine,,C,MANUAL
377,1,easy,Which of the following is a data tokenization integration partner?,FALSE,Protegrity,Tableau,DBeaver,SAP,,A,MANUAL
378,1,medium,Snowflake is designed for which type of workloads? (Choose two.),TRUE,OLAP (Analytics) workloads,OLTP (Transactional) workloads,Concurrent workloads,On-premise workloads,,"A,C",MANUAL
379,1,hard,What versions of Snowflake should be used to manage compliance with Personal Identifiable Information (PII) requirements? (Choose two.),TRUE,Custom Edition,Virtual Private Snowflake,Business Critical Edition,Standard Edition,Enterprise Edition,"B,C",MANUAL
381,1,hard,The Snowflake cloud services layer is responsible for which tasks? (Choose two.),TRUE,Local disk caching,Authentication and access control,Metadata management,Query processing,Database storage,"B,C",MANUAL
382,3,medium,What is a key feature of Snowflake architecture?,FALSE,Zero-copy cloning creates a mirror copy of a database that updates with the original.,Software updates are automatically applied on a quarterly basis.,Snowflake eliminates resource contention with its virtual warehouse implementation.,Multi-cluster warehouses allow users to run a query that spans across multiple clusters.,"Snowflake automatically sorts DATE columns during ingest, for fast retrieval by date.",C,MANUAL
384,4,easy,When loading data into Snowflake via Snowpipe what is the compressed file size recommendation?,FALSE,10-50 MB,100-250 MB,300-500 MB,1000-1500 MB,,B,MANUAL
385,1,easy,"Which Snowflake feature allows a user to substitute a randomly generated identifier for sensitive data, in order to prevent unauthorized users access to the data, before loading it into Snowflake?",FALSE,External Tokenization,External Tables,Materialized Views,User-Defined Table Functions (UDTF),,A,MANUAL
387,1,medium,What is the SNOWFLAKE.ACCOUNT_USAGE view that contains information about which objects were read by queries within the last 365 days (1 year)?,FALSE,VIEWS_HISTORY,OBJECT_HISTORY,ACCESS_HISTORY,LOGIN_HISTORY,,C,MANUAL
388,2,easy,Which feature is only available in the Enterprise or higher editions of Snowflake?,FALSE,Column-level security,SOC 2 type II certification,Multi-factor Authentication (MFA),Object-level access control,,A,MANUAL
389,1,medium,What are the three layers that make up Snowflake's architecture? (Choose three.),TRUE,Compute,Tri-Secret Secure,Storage,Cloud Services,,"A,C,D",MANUAL
390,3,easy,Will data cached in a warehouse be lost when the warehouse is resized?,FALSE,"Possibly, if the warehouse is resized to a smaller size and the cache no longer fits.","Yes, because the compute resource is replaced in its entirety with a new compute resource.","No, because the size of the cache is independent from the warehouse size.","Yes, because the new compute resource will no longer have access to the cache encryption key.",,B,MANUAL
391,4,hard,Which semi-structured file formats are supported when unloading data from a table? (Choose two.),TRUE,ORC,XML,Avro,Parquet,JSON,"D,E",MANUAL
392,3,medium,A running virtual warehouse is suspended. What is the MINIMUM amount of time that the warehouse will incur charges for when it is restarted?,FALSE,1 second,60 seconds,5 minutes,60 minutes,,B,MANUAL
394,6,medium,How long is the Fail-safe period for temporary and transient tables?,FALSE,There is no Fail-safe period for these tables.,1 day,7 days,31 days,90 days,A,MANUAL
395,4,easy,Which command should be used to download files from a Snowflake stage to a local folder on a client's machine?,FALSE,PUT,GET,COPY,SELECT,,B,MANUAL
396,6,easy,How does Snowflake Fail-safe protect data in a permanent table?,FALSE,"Fail-safe makes data available up to 1 day, recoverable by user operations.","Fail-safe makes data available for 7 days, recoverable by user operations.","Fail-safe makes data available for 7 days, recoverable only by Snowflake Support.","Fail-safe makes data available up to 1 day, recoverable only by Snowflake Support.",,C,MANUAL
398,1,medium,Which minimum Snowflake edition allows for a dedicated metadata store?,FALSE,Standard,Enterprise,Business Critical,Virtual Private Snowflake,,C,MANUAL
400,3,easy,Why would a customer size a Virtual Warehouse from an X-Small to a Medium?,FALSE,To accommodate more queries,To accommodate more users,To accommodate fluctuations in workload,To accommodate a more complex workload,,D,MANUAL
405,5,medium,What is a feature of a stored procedure in Snowflake?,FALSE,They can be created as secure and hide the underlying metadata from all users.,They can access tables from a single database.,They can only contain a single SQL statement.,They can be created to run with a caller's rights or an owner's rights.,,D,MANUAL
406,5,hard,Which columns are part of the result set of the Snowflake LATERAL FLATTEN command? (Choose two.),TRUE,CONTENT,PATH,BYTE_SIZE,INDEX,DATATYPE,"B,D",MANUAL
407,1,medium,What is the minimum Snowflake edition required to create a materialized view?,FALSE,Standard Edition,Enterprise Edition,Business Critical Edition,Virtual Private Snowflake Edition,,B,MANUAL
408,5,easy,"Which Snowflake function will interpret an input string as a JSON document, and produce a VARIANT value?",FALSE,parse_json(),json_extract_path_text(),object_construct(),flatten,,A,MANUAL
410,1,easy,Which Snowflake architectural layer is responsible for a query execution plan?,FALSE,Compute,Data storage,Cloud services,Cloud provider,,C,MANUAL
411,1,medium,True or False: Reader Accounts incur no additional Compute costs to the Data Provider since they are simply reading the shared data without making changes.,FALSE,True,False,,,,B,MANUAL
412,4,easy,"When unloading to a stage, which of the following is a recommended practice or approach?",FALSE,Set SINGLE = TRUE for larger files.,Use OBJECT_CONSTRUCT(*) when using Parquet.,Avoid the use of the CAST function.,Define an individual file format.,,D,MANUAL
414,4,hard,Which methods can be used to delete staged files from a Snowflake stage? (Choose two.),TRUE,Use the DROP [file] command after the load completes.,Specify the TEMPORARY option when creating the file format.,Specify the PURGE copy option in the COPY INTO [table] command.,Use the REMOVE command after the load completes.,Use the DELETE LOAD HISTORY command after the load completes.,"C,D",MANUAL
418,3,easy,What feature can be used to reorganize a very large table on one or more columns?,FALSE,Micro-partitions,Clustering keys,Key partitions,Clustered partitions,,B,MANUAL
419,1,easy,What is an advantage of using an explain plan instead of the query profiler to evaluate the performance of a query?,FALSE,The explain plan output is available graphically.,An explain plan can be used to conduct performance analysis without executing a query.,An explain plan will handle queries with temporary tables and the query profiler will not.,An explain plan's output will display automatic data skew optimization information.,,B,MANUAL
420,5,hard,Which data types are supported by Snowflake when using semi-structured data? (Choose two.),TRUE,VARIANT,VARRAY,STRUCT,ARRAY,QUEUE,"A,D",MANUAL
421,3,medium,Why does Snowflake recommend file sizes of 100-250 MB compressed when loading data?,FALSE,Optimizes the virtual warehouse size and multi-cluster setting to economy mode,Allows a user to import the files in a sequential order,Increases the latency staging and accuracy when loading the data,Allows optimization of parallel operations,,D,MANUAL
422,2,hard,Which of the following connectors allow Multi-Factor Authentication (MFA) authorization when connecting? (Choose all that apply.),TRUE,JDBC,SnowSQL,Snowflake Web Interface (UI),ODBC,Python,"A,B,C,D,E",MANUAL
424,1,easy,What is the default file size when unloading data from Snowflake using the COPY command?,FALSE,5 MB,8 GB,16 MB,32 MB,,C,MANUAL
425,6,hard,What features that are part of the Continuous Data Protection (CDP) feature set in Snowflake do not require additional configuration? (Choose two.),TRUE,Row level access policies,Data masking policies,Data encryption,Time Travel,External tokenization,"C,D",MANUAL
426,3,easy,Which Snowflake layer is always leveraged when accessing a query from the result cache?,FALSE,Metadata,Data Storage,Compute,Cloud Services,,D,MANUAL
428,2,easy,"A Snowflake Administrator needs to ensure that sensitive corporate data in Snowflake tables is not visible to end users, but is partially visible to functional managers. How can this requirement be met?",FALSE,Use data encryption.,Use dynamic data masking.,Use secure materialized views.,Revoke all roles for functional managers and end users.,,B,MANUAL
429,1,easy,Users are responsible for data storage costs until what occurs?,FALSE,Data expires from Time Travel,Data expires from Fail-safe,Data is deleted from a table,Data is truncated from a table,,B,MANUAL
430,1,medium,A user has an application that writes a new file to a cloud storage location every 5 minutes. What would be the MOST efficient way to get the files into Snowflake?,FALSE,Create a task that runs a COPY INTO operation from an external stage every 5 minutes.,Create a task that PUTS the files in an internal stage and automate the data loading wizard.,Create a task that runs a GET operation to intermittently check for new files.,Set up cloud provider notifications on the file location and use Snowpipe with auto-ingest.,,D,MANUAL
431,3,easy,What affects whether the query results cache can be used?,FALSE,If the query contains a deterministic function,If the virtual warehouse has been suspended,If the referenced data in the table has changed,If multiple users are using the same virtual warehouse,,C,MANUAL
433,3,medium,Which of the following are valid Snowflake Virtual Warehouse Scaling Policies? (Choose two.),TRUE,Custom,Economy,Optimized,Standard,,"B,D",MANUAL
434,1,medium,True or False: Snowflake charges a premium for storing semi-structured data.,FALSE,True,False,,,,B,MANUAL
435,4,medium,How many days is load history for Snowpipe retained?,FALSE,1 day,7 days,14 days,64 days,,C,MANUAL
436,3,hard,What Snowflake features allow virtual warehouses to handle high concurrency workloads? (Choose two.),TRUE,The ability to scale up warehouses,The use of warehouse auto scaling,The ability to resize warehouses,Use of multi-clustered warehouses,The use of warehouse indexing,"B,D",MANUAL
437,4,easy,Which COPY INTO command outputs the data into one file?,FALSE,SINGLE=TRUE,MAX_FILE_NUMBER=1,FILE_NUMBER=1,MULTIPLE=FALSE,,A,MANUAL
438,1,hard,In which scenarios would a user have to pay Cloud Services costs? (Choose two.),TRUE,Compute Credits = 50 Credits Cloud Services = 10,Compute Credits = 80 Credits Cloud Services = 5,Compute Credits = 100 Credits Cloud Services = 9,Compute Credits = 120 Credits Cloud Services = 10,Compute Credits = 200 Credits Cloud Services = 26,"A,E",MANUAL
439,6,easy,A user created a new worksheet within the Snowsight UI and wants to share this with teammates. How can this worksheet be shared?,FALSE,Create a zero-copy clone of the worksheet and grant permissions to teammates.,Create a private Data Exchange so that any teammate can use the worksheet.,Share the worksheet with teammates within Snowsight.,Create a database and grant all permissions to teammates.,,C,MANUAL
440,1,hard,How can a row access policy be applied to a table or a view? (Choose two.),TRUE,Within the policy DDL,Within the create table or create view DDL,By future APPLY for all objects in a schema,Within a control table,Using the command ALTER [object] ADD ROW ACCESS POLICY [policy];,"B,E",MANUAL
441,4,easy,Which command can be used to load data files into a Snowflake stage?,FALSE,JOIN,COPY INTO,PUT,GET,,C,MANUAL
443,6,medium,What is the maximum Time Travel retention period for a temporary Snowflake table?,FALSE,90 days,1 day,7 days,45 days,,B,MANUAL
444,3,easy,When should a multi-cluster warehouse be used in auto-scaling mode?,FALSE,When it is unknown how much compute power is needed,If the select statement contains a large number of temporary tables or Common Table Expressions (CTEs),If the runtime of the executed query is very slow,When a large number of concurrent queries are run on the same warehouse,,D,MANUAL
445,1,medium,Which of the following statements describes a benefit of Snowflake's separation of compute and storage? (Choose all that apply.),TRUE,Growth of storage and compute are tightly coupled together,Storage expands without the requirement to add more compute,Compute can be scaled up or down without the requirement to add more storage,Multiple compute clusters can access stored data without contention,,"B,C,D",MANUAL
448,1,medium,What is a limitation of a Materialized View?,FALSE,A Materialized View cannot support any aggregate functions,A Materialized View can only reference up to two tables,A Materialized View cannot be joined with other tables,A Materialized View cannot be defined with a JOIN,,D,MANUAL
449,1,easy,"In the Snowflake access control model, which entity owns an object by default?",FALSE,The user who created the object,The SYSADMIN role,Ownership depends on the type of object,The role used to create the object,,D,MANUAL
450,2,medium,What is the minimum Snowflake edition required to use Dynamic Data Masking?,FALSE,Standard,Enterprise,Business Critical,Virtual Private Snowflake (VPC),,B,MANUAL
451,1,hard,Which services does the Snowflake Cloud Services layer manage? (Choose two.),TRUE,Compute resources,Query execution,Authentication,Data storage,Metadata,"C,E",MANUAL
452,2,medium,A company needs to allow some users to see Personally Identifiable Information (PII) while limiting other users from seeing the full value of the PII. Which Snowflake feature will support this?,FALSE,Row access policies,Data masking policies,Data encryption,Role based access control,,B,MANUAL
453,4,easy,A user has unloaded data from a Snowflake table to an external stage. Which command can be used to verify if data has been uploaded to the external stage named my_stage?,FALSE,view @my_stage,list @my_stage,show @my_stage,display @my_stage,,B,MANUAL
454,1,hard,Which tasks are performed in the Snowflake Cloud Services layer? (Choose two.),TRUE,Management of metadata,Computing the data,Maintaining Availability Zones,Infrastructure security,Parsing and optimizing queries,"A,E",MANUAL
455,6,hard,What is true about sharing data in Snowflake? (Choose two.),TRUE,The Data Consumer pays for data storage as well as for data computing.,"The shared data is copied into the Data Consumer account, so the Consumer can modify it without impacting the base data of the Provider.",A Snowflake account can both provide and consume shared data.,The Provider is charged for compute resources used by the Data Consumer to query the shared data.,The Data Consumer pays only for compute resources to query the shared data.,"C,E",MANUAL
456,4,medium,True or False: It is possible to unload structured data to semi-structured formats such as JSON and Parquet.,FALSE,True,False,,,,A,MANUAL
457,5,easy,The following JSON is stored in a VARIANT column called src of the CAR_SALES table: A user needs to extract the dealership information from the JSON. How can this be accomplished?,FALSE,select src:dealership from car_sales;,select src.dealership from car_sales;,select src:Dealership from car_sales;,select dealership from car_sales;,,A,MANUAL
458,3,easy,Which of the following significantly improves the performance of selective point lookup queries on a table?,FALSE,Clustering,Materialized Views,Zero-copy Cloning,Search Optimization Service,,D,MANUAL
459,6,easy,Which of the following accurately describes shares?,FALSE,"Tables, secure views, and secure UDFs can be shared",Shares can be shared,Data consumers can clone a new table from a share,Access to a share cannot be revoked once granted,,A,MANUAL
460,2,hard,What are best practice recommendations for using the ACCOUNTADMIN system-defined role in Snowflake? (Choose two.),TRUE,Ensure all ACCOUNTADMIN roles use Multi-factor Authentication (MFA).,All users granted ACCOUNTADMIN role must be owned by the ACCOUNTADMIN role.,The ACCOUNTADMIN role must be granted to only one user.,"Assign the ACCOUNTADMIN role to at least two users, but as few as possible.",All users granted ACCOUNTADMIN role must also be granted SECURITYADMIN role.,"A,D",MANUAL
461,1,hard,"In the query profiler view for a query, which components represent areas that can be used to help optimize query performance? (Choose two.)",TRUE,Bytes scanned,Bytes sent over the network,Number of partitions scanned,Percentage scanned from cache,External bytes scanned,"A,C",MANUAL
462,1,medium,What is the minimum Snowflake edition required for row level security?,FALSE,Standard,Enterprise,Business Critical,Virtual Private Snowflake,,B,MANUAL
463,6,medium,The is the minimum Fail-safe retention time period for transient tables?,FALSE,1 day,7 days,12 hours,0 days,,D,MANUAL
464,1,easy,What is a machine learning and data science partner within the Snowflake Partner Ecosystem?,FALSE,Informatica,Power BI,Adobe,Data Robot,,D,MANUAL
465,6,hard,Which statements are correct concerning the leveraging of third-party data from the Snowflake Data Marketplace? (Choose two.),TRUE,"Data is live, ready-to-query, and can be personalized.",Data needs to be loaded into a cloud provider as a consumer account.,Data is not available for copying or moving to an individual Snowflake account.,Data is available without copying or moving.,Data transformations are required when combining Data Marketplace datasets with existing data in Snowflake.,"A,D",MANUAL
466,3,hard,What impacts the credit consumption of maintaining a materialized view? (Choose two.),TRUE,Whether or not it is also a secure view,How often the underlying base table is queried,How often the base table changes,Whether the materialized view has a cluster key defined,How often the materialized view is queried,"C,D",MANUAL
467,1,easy,In which layer of its architecture does Snowflake store its metadata statistics?,FALSE,Storage Layer,Compute Layer,Database Layer,Cloud Services Layer,,D,MANUAL
468,4,easy,What COPY INTO SQL command should be used to unload data into multiple files?,FALSE,SINGLE=TRUE,MULTIPLE=TRUE,MULTIPLE=FALSE,SINGLE=FALSE,,D,MANUAL
469,1,easy,"When cloning a database containing stored procedures and regular views, that have fully qualified table references, which of the following will occur?",FALSE,The cloned views and the stored procedures will reference the cloned tables in the cloned database.,"An error will occur, as views with qualified references cannot be cloned.","An error will occur, as stored objects cannot be cloned.",The stored procedures and views will refer to tables in the source database.,,D,MANUAL
470,1,easy,"When loading data into Snowflake, how should the data be organized?",FALSE,Into single files with 100-250 MB of compressed data per file,Into single files with 1-100 MB of compressed data per file,Into files of maximum size of 1 GB of compressed data per file,Into files of maximum size of 4 GB of compressed data per file,,A,MANUAL
472,2,easy,Which Snowflake SQL statement would be used to determine which users and roles have access to a role called MY_ROLE?,FALSE,SHOW GRANTS OF ROLE MY_ROLE,SHOW GRANTS TO ROLE MY_ROLE,SHOW GRANTS FOR ROLE MY_ROLE,SHOW GRANTS ON ROLE MY_ROLE,,A,MANUAL
474,1,easy,"A user created a transient table and made several changes to it over the course of several days. Three days after the table was created, the user would like to go back to the first version of the table. How can this be accomplished?",FALSE,"Use Time Travel, as long as DATA_RETENTION_TIME_IN_DAYS was set to at least 3 days.",The transient table version cannot be retrieved after 24 hours.,Contact Snowflake Support to have the data retrieved from Fail-safe storage.,Use the FAIL_SAFE parameter for Time Travel to retrieve the data from Fail-safe storage.,,B,MANUAL
475,3,hard,"When reviewing the load for a warehouse using the load monitoring chart, the chart indicates that a high volume of queries is always queuing in the warehouse. According to recommended best practice, what should be done to reduce the queue volume? (Choose two.)",TRUE,Use multi-clustered warehousing to scale out warehouse capacity.,Scale up the warehouse size to allow queries to execute faster.,Stop and start the warehouse to clear the queued queries.,Migrate some queries to a new warehouse to reduce load.,Limit user access to the warehouse so fewer queries are run against it.,"A,B",MANUAL
476,1,hard,"Which of the following features, associated with Continuous Data Protection (CDP), require additional Snowflake- provided data storage? (Choose two.)",TRUE,Tri-Secret Secure,Time Travel,Fail-safe,Data encryption,External stages,"B,C",MANUAL
477,1,medium,Where can a user find and review the failed logins of a specific user for the past 30 days?,FALSE,The USERS view in ACCOUNT_USAGE,The LOGIN_HISTORY view in ACCOUNT_USAGE,The ACCESS_HISTORY view in ACCOUNT_USAGE,The SESSIONS view in ACCOUNT_USAGE,,B,MANUAL
478,6,medium,True or False: Data in fail-safe can be deleted by a user or the Snowflake team before it expires.,FALSE,True,False,,,,B,MANUAL
479,6,easy,What is the purpose of an External Function?,FALSE,To call code that executes outside of Snowflake,To run a function in another Snowflake database,To share data in Snowflake with external parties,To ingest data from on-premises data sources,,A,MANUAL
480,2,hard,Which of the following statements apply to Snowflake in terms of security? (Choose two.),TRUE,Snowflake leverages a Role-Based Access Control (RBAC) model.,Snowflake requires a user to configure an IAM user to connect to the database.,All data in Snowflake is encrypted.,Snowflake can run within a user's own Virtual Private Cloud (VPC).,All data in Snowflake is compressed.,"A,C",MANUAL
481,3,medium,"A single user of a virtual warehouse has set the warehouse to auto-resume and auto-suspend after 10 minutes. The warehouse is currently suspended and the user performs the following actions: 1. Runs a query that takes 3 minutes to complete 2. Leaves for 15 minutes 3. Returns and runs a query that takes 10 seconds to complete 4. Manually suspends the warehouse as soon as the last query was completed When the user returns, how much billable compute time will have been consumed?",FALSE,4 minutes,10 minutes,14 minutes,24 minutes,,C,MANUAL
482,3,hard,What can be used to view warehouse usage over time? (Choose two.),TRUE,The LOAD HISTORY view,The query history view,The SHOW WAREHOUSES command,The WAREHOUSE_METERING_HISTORY view,The billing and usage tab in the Snowflake web UI,"D,E",MANUAL
483,3,hard,What actions will prevent leveraging of the ResultSet cache? (Choose two.),TRUE,Removing a column from the query SELECT list,Stopping the virtual warehouse that the query is running against,Clustering of the data used by the query,Executing the RESULTS_SCAN() table function,Changing a column that is not in the cached query,"A,E",MANUAL
484,5,easy,Which statement is true about running tasks in Snowflake?,FALSE,A task can be called using a CALL statement to run a set of predefined SQL commands.,A task allows a user to execute a single SQL statement/command using a predefined schedule.,A task allows a user to execute a set of SQL commands on a predefined schedule.,A task can be executed using a SELECT statement to run a predefined SQL command.,,B,MANUAL
485,5,hard,Which data types does Snowflake support when querying semi-structured data? (Choose two.),TRUE,VARIANT,VARCHAR,XML,ARRAY,BLOB,"A,D",MANUAL
486,3,easy,"In an auto-scaling multi-cluster virtual warehouse with the setting SCALING_POLICY = ECONOMY enabled, when is another cluster started?",FALSE,When the system has enough load for 2 minutes,When the system has enough load for 6 minutes,When the system has enough load for 8 minutes,When the system has enough load for 10 minutes,,B,MANUAL
487,5,easy,"What is the following SQL command used for? Select * from table(validate(t1, job_id => '_last'));",FALSE,To validate external table files in table t1 across all sessions,To validate task SQL statements against table t1 in the last 14 days,To validate a file for errors before it gets executed using a COPY command,To return errors from the last executed COPY command into table t1 in the current session,,D,MANUAL
488,1,medium,A sales table FCT_SALES has 100 million records. The following query was executed: SELECT COUNT (1) FROM FCT_SALES; How did Snowflake fulfill this query?,FALSE,Query against the result set cache,Query against a virtual warehouse cache,Query against the most-recently created micro-partition,Query against the metadata cache,,D,MANUAL
489,3,medium,"True or False: Snowflake's data warehouse was built from the ground up for the cloud in lieu of using an existing database or a platform, like Hadoop, as a base.",FALSE,True,False,,,,A,MANUAL
490,3,easy,What happens when a virtual warehouse is resized?,FALSE,When increasing the size of an active warehouse the compute resource for all running and queued queries on the warehouse are affected.,When reducing the size of a warehouse the compute resources are removed only when they are no longer being used to execute any current statements.,The warehouse will be suspended while the new compute resource is provisioned and will resume automatically once provisioning is complete.,Users who are trying to use the warehouse will receive an error message until the resizing is complete.,,B,MANUAL
491,3,hard,What tasks can be completed using the COPY command? (Choose two.),TRUE,Columns can be aggregated.,Columns can be joined with an existing table.,Columns can be reordered.,Columns can be omitted.,Data can be loaded without the need to spin up a virtual warehouse.,"C,D",MANUAL
492,1,easy,Which Snowflake layer can be configured?,FALSE,Database Storage,Cloud Services,Query Processing,Application Services,,C,MANUAL
493,1,easy,Query compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?,FALSE,Compute layer,Storage layer,Cloud infrastructure layer,Cloud services layer,,D,MANUAL
494,3,medium,"If a size Small virtual warehouse is made up of two servers, how many servers make up a Large warehouse?",FALSE,4,8,16,32,,B,MANUAL
495,3,easy,"A clustering key was defined on a table, but it is no longer needed. How can the key be removed?",FALSE,ALTER TABLE [TABLE NAME] PURGE CLUSTERING KEY,ALTER TABLE [TABLE NAME] DELETE CLUSTERING KEY,ALTER TABLE [TABLE NAME] DROP CLUSTERING KEY,ALTER TABLE [TABLE NAME] REMOVE CLUSTERING KEY,,C,MANUAL
496,1,easy,What is a core benefit of clustering?,FALSE,To guarantee uniquely identifiable records in the database,To increase scan efficiency in queries by improving pruning,To improve performance by creating a separate file for point lookups,To provide data redundancy by duplicating micro-partitions,,B,MANUAL
497,2,medium,Which statement is true about Multi-Factor Authentication (MFA) in Snowflake?,FALSE,MFA can be enforced or applied for a given role.,Snowflake users are automatically enrolled in MFA.,Users enroll in MFA by submitting a request to Snowflake Support.,MFA is an integrated Snowflake feature.,,D,MANUAL
498,4,easy,What data type should be used to store JSON data natively in Snowflake?,FALSE,JSON,String,Object,VARIANT,,D,MANUAL
